rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
16,16,46.4917974638645,5378.566223144531,14383,1000,1000,54.96545578445248,5484.542999267578,10901,101.45725324831699,45116,8,5,109.33878149719735,93.61304367142031,111.13188861083009,19089,22509,18781,433.0539678645897,136.48876199732717,130.48190849993867,34877,392,5x4
16,16,46.661445354218586,5453.534957885742,14312,1000,1000,55.766420252087435,5374.1888427734375,10627,102.42786560630603,44952,8,5,110.93106563911772,93.75048941092722,112.06872852233677,18815,22476,18624,426.49294738133204,137.06852144332402,131.74733227032993,34372,566,4x5
16,16,72.35051404126129,2259.0823822021484,6333,1000,1000,38.85053723601334,9308.024841308594,18802,111.20105127727463,53988,8,5,0,0,0,0,0,0,0,0,0,16,1894,4x9
16,16,69.68671495979265,1977.2241516113281,6910,1000,1000,36.43292449880129,10952.839981079102,20597,106.11963945859395,57570,8,5,0,0,0,0,0,0,0,0,0,107928,2200,9x4
20,16,46.51654689024931,5463.062637329102,14370,1000,1000,55.64803905959773,5442.122741699219,10667,102.16458594984704,45092,8,5,110.69573057544417,93.62552208300009,111.9965657866495,18855,22506,18636,432.12020115294985,136.61292674037176,127.66159695817491,35016,423,5x4
20,16,46.85744928054339,5481.881988525391,14210,1000,1000,55.71604675876727,5304.646194458008,10644,102.57349603931067,44764,8,5,111.20294101976664,94.51583385664304,111.41069712821607,18769,22294,18734,422.23108058383417,136.74571740979223,136.05801545443396,33506,466,4x5
20,16,72.78239744568613,2267.10693359375,6251,1000,1000,38.95011329445414,9284.961471557617,18733,111.73251074014027,53850,8,5,0,0,0,0,0,0,0,0,0,32,2063,4x9
24,16,46.52273836461245,5335.172592163086,14376,1000,1000,54.51962772318411,5596.450576782227,11057,101.04236608779655,45086,8,5,108.45248116393869,93.54654827968923,110.42048460480372,19245,22525,18902,442.4045136759475,136.6900741100717,128.03360726113087,33714,373,5x4
24,16,46.71965781500624,5443.775009155273,14272,1000,1000,55.71012644777388,5335.977737426758,10646,102.42978426278012,44896,8,5,110.81915684400552,94.51583385664304,112.40066777963273,18834,22294,18569,426.36281123512816,137.40517555582554,131.36784005887404,33967,510,4x5
20,16,69.56189465304497,1989.9583282470703,6941,1000,1000,36.46206273037068,10928.645538330078,20570,106.02395738341565,57524,8,5,0,0,0,0,0,0,0,0,0,107377,2214,9x4
28,16,46.368444326523395,5456.023147583008,14457,1000,1000,55.57430570277719,5400.351501464844,10692,101.94275002930058,45236,8,5,110.54915254237288,93.21135981597806,112.51579514824797,18880,22606,18550,440.327241506194,136.8197059895517,119.8308598062063,34652,529,5x4
